seed,arm,lambda_1,validation_nll_final
1040,A2,0.001,0.7899730388375515
1040,A2,0.01,0.7899727149823565
1041,A1,0.0001,0.6829105546667463
1041,A1,0.001,0.6829105254196925
1041,A1,0.01,0.682910240780935
1041,A2,0.0001,0.6855167116931524
1041,A2,0.001,0.6855166753420422
1041,A2,0.01,0.6855163234769985
1042,A1,0.0001,0.6186807814423884
1042,A1,0.001,0.6186807413168034
1042,A1,0.01,0.6186803563555264
1042,A2,0.0001,0.6198923879556318
1042,A2,0.001,0.619892348361134
1042,A2,0.01,0.6198919663861197
1043,A1,0.0001,0.565555748092283
1043,A1,0.001,0.5655557036729036
1043,A1,0.01,0.5655552723998283
1043,A2,0.0001,0.5587772720817107
1043,A2,0.001,0.5587772402952768
1043,A2,0.01,0.5587769309869351
1044,A1,0.0001,0.6309365723065098
1044,A1,0.001,0.6309365193182906
1044,A1,0.01,0.6309360029187455
1044,A2,0.0001,0.6253222492855569
1044,A2,0.001,0.6253221979508717
1044,A2,0.01,0.625321699520643
1045,A1,0.0001,0.6656545433674526
1045,A1,0.001,0.6656545145054323
1045,A1,0.01,0.6656542354146424
1045,A2,0.0001,0.6705464236779283
1045,A2,0.001,0.6705463878320751
1045,A2,0.01,0.6705460413422407
1046,A1,0.0001,0.5509368470525636
1046,A1,0.001,0.5509367938416465
1046,A1,0.01,0.550936276578805
1046,A2,0.0001,0.5425994005020445
1046,A2,0.001,0.542599355967878
1046,A2,0.01,0.5425989235659079
1047,A1,0.0001,0.5626566261816254
1047,A1,0.001,0.5626565790761849
1047,A1,0.01,0.5626561235271739
1047,A2,0.0001,0.5618238777295818
1047,A2,0.001,0.561823829102219
1047,A2,0.01,0.5618233574229016
1048,A1,0.0001,0.5673238602944743
1048,A1,0.001,0.5673238084285346
1048,A1,0.01,0.5673233119055759
1048,A2,0.0001,0.5706234697753957
1048,A2,0.001,0.5706234219913788
1048,A2,0.01,0.5706229615537406
1049,A1,0.0001,0.7349763306354958
