seed,arm,lambda_1,cfhm_taus,b3_taus,cfhm_mean_tau,b3_mean_tau,cfhm_gate,b3_gate
1015,A1,0.01,"[-0.0013065326633165827, -0.01597989949748744, 0.034572864321608034, -0.05266331658291457, 0.013768844221105527, -0.03346733668341708, 0.0023115577889447235, 0.0024120603015075374, 0.05969849246231155, 0.027638190954773868]","[0.07587939698492462, 0.0672361809045226, 0.048341708542713566, 0.0815075376884422, 0.036180904522613064, 0.05407035175879397, 0.11246231155778894, 0.08180904522613064, 0.0743718592964824, 0.07316582914572864]",0.0036984924623115,0.070502512562814,False,False
1015,A2,0.01,"[0.08321608040201005, -0.022412060301507535, 0.03829145728643216, 0.02150753768844221, 0.012562814070351758, 0.02603015075376884, 0.02301507537688442, 0.051959798994974875, 0.044522613065326636, -0.05879396984924623]","[0.022211055276381907, 0.051155778894472356, 0.06753768844221106, 0.09266331658291457, 0.10683417085427135, 0.0321608040201005, 0.023618090452261306, -0.008944723618090452, 0.052462311557788945, 0.046733668341708536]",0.0219899497487437,0.048643216080402,False,False
1016,A1,0.01,"[0.06241206030150754, 0.12703517587939697, 0.0786934673366834, 0.056783919597989944, 0.027537688442211054, 0.1417085427135678, 0.08040201005025124, 0.09206030150753768, 0.0528643216080402, 0.030653266331658293]","[0.06341708542713567, 0.21035175879396983, 0.18743718592964823, 0.1907537688442211, 0.18462311557788944, 0.19417085427135675, 0.1830150753768844, 0.09155778894472362, 0.14201005025125626, 0.1334673366834171]",0.0750150753768844,0.1580804020100502,False,False
1016,A2,0.01,"[0.08030150753768844, 0.10854271356783919, 0.11276381909547738, 0.061105527638190944, 0.15688442211055276, -0.0021105527638190956, 0.0778894472361809, 0.045728643216080396, 0.1334673366834171, 0.061206030150753765]","[0.09326633165829146, -0.010452261306532661, 0.14522613065326634, 0.12261306532663317, 0.11386934673366834, 0.1193969849246231, 0.12844221105527637, 0.17829145728643214, 0.1265326633165829, 0.16120603015075377]",0.0835778894472361,0.1178391959798994,False,False
1017,A1,0.01,"[0.041809045226130645, -0.009246231155778894, 0.05055276381909547, 0.0543718592964824, 0.04331658291457286, 0.030753768844221104, -0.020301507537688442, 0.04301507537688442, 0.06954773869346734, 0.03447236180904523]","[0.21949748743718592, 0.20633165829145728, 0.1649246231155779, 0.20994974874371858, 0.10321608040201005, 0.19276381909547735, 0.11025125628140703, 0.1050251256281407, 0.18492462311557786, 0.14532663316582914]",0.0338291457286432,0.1642211055276382,False,False
1017,A2,0.01,"[0.0743718592964824, 0.021608040201005024, 0.06271356783919597, -0.07628140703517589, -0.010351758793969849, -0.051959798994974875, -0.05798994974874372, -0.06251256281407035, 0.037989949748743715, 0.06753768844221106]","[0.0822110552763819, -0.025527638190954775, -0.025929648241206027, 0.08100502512562814, 0.09145728643216079, 0.058693467336683416, 0.02381909547738693, 0.0009045226130653265, 0.05417085427135678, 0.03537688442211055]",0.0005125628140703,0.0376180904522613,False,False
1018,A1,0.01,"[0.2088442211055276, 0.21376884422110554, 0.19346733668341706, 0.104321608040201, 0.1879396984924623, 0.29889447236180905, 0.09819095477386934, 0.18030150753768845, 0.144321608040201, -0.03246231155778894]","[0.11467336683417086, 0.006130653266331658, 0.06773869346733667, 0.07206030150753769, 0.04462311557788944, 0.07105527638190955, -0.02100502512562814, 0.10371859296482411, 0.22924623115577888, -0.03226130653266331]",0.1597587939698492,0.0655979899497487,False,False
1018,A2,0.01,"[0.22130653266331657, 0.22472361809045227, 0.1687437185929648, 0.09889447236180904, 0.04201005025125628, 0.22020100502512563, 0.20100502512562812, 0.1164824120603015, 0.13527638190954772, 0.22331658291457285]","[0.1107537688442211, 0.10130653266331657, 0.15547738693467336, 0.0764824120603015, 0.059597989949748735, 0.04371859296482412, 0.14542713567839194, 0.06422110552763818, 0.027638190954773868, 0.1300502512562814]",0.1651959798994974,0.091467336683417,False,False
1019,A1,0.01,"[-0.027035175879396984, 0.01336683417085427, -0.021105527638190954, -0.03396984924623115, -0.07708542713567838, 0.025125628140703515, -0.014773869346733668, 0.00010050251256281406, 0.039798994974874366, -0.026231155778894472]","[0.014773869346733668, 0.0708542713567839, 0.06894472361809045, 0.10060301507537688, -0.05989949748743719, 0.07165829145728643, 0.02673366834170854, 0.05597989949748743, -0.029648241206030147, 0.12934673366834168]",-0.012180904522613,0.0449346733668341,False,False
1019,A2,0.01,"[-0.01638190954773869, 0.08271356783919598, 0.036984924623115575, -0.057085427135678386, 0.017185929648241203, -0.06733668341708542, -0.04371859296482412, -0.010954773869346733, 0.03376884422110553, 0.02472361809045226]","[0.04301507537688442, -0.024120603015075376, 0.006331658291457286, 0.04613065326633166, 0.07517587939698492, 0.06904522613065325, 0.01587939698492462, 0.07658291457286431, 0.0500502512562814, 0.14964824120603015]",-1.00502512562807e-05,0.0507738693467336,False,False
