arm,auroc,calibration_path,lambda_1,method,precision_at_10,precision_at_25,seed,selected_gamma,selected_kappa,status,train_rate
A2,0.46515151515151515,gamma-bisection,0.01,B2_age_x_popularity,0.4,0.52,1015,-4.156494140625,1.0,ELIGIBLE,0.04
A2,0.7023232323232322,gamma-bisection,0.01,B3_fragility_only,1.0,0.96,1015,-4.156494140625,1.0,ELIGIBLE,0.04
A2,0.5327272727272726,gamma-bisection,0.01,B4_CFHM,0.5,0.52,1015,-4.156494140625,1.0,ELIGIBLE,0.04
A1,0.6645054945054946,gamma-bisection,0.01,B1_in_degree,1.0,0.84,1016,-3.802734375,1.0,ELIGIBLE,0.04
A1,0.4912087912087912,gamma-bisection,0.01,B2_age_x_popularity,0.8,0.72,1016,-3.802734375,1.0,ELIGIBLE,0.04
A1,0.7872527472527472,gamma-bisection,0.01,B3_fragility_only,0.9,0.96,1016,-3.802734375,1.0,ELIGIBLE,0.04
A1,0.5897802197802197,gamma-bisection,0.01,B4_CFHM,0.9,0.92,1016,-3.802734375,1.0,ELIGIBLE,0.04
A2,0.67072,gamma-bisection,0.01,B1_in_degree,0.6,0.72,1016,-3.913818359375,1.0,ELIGIBLE,0.04
A2,0.46112000000000003,gamma-bisection,0.01,B2_age_x_popularity,0.6,0.64,1016,-3.913818359375,1.0,ELIGIBLE,0.04
A2,0.7476266666666667,gamma-bisection,0.01,B3_fragility_only,1.0,0.92,1016,-3.913818359375,1.0,ELIGIBLE,0.04
A2,0.4827733333333333,gamma-bisection,0.01,B4_CFHM,0.8,0.72,1016,-3.913818359375,1.0,ELIGIBLE,0.04
A1,0.6293616584564862,gamma-bisection,0.01,B1_in_degree,0.8,0.72,1017,-3.941162109375,1.0,ELIGIBLE,0.03995192307692308
A1,0.5615763546798029,gamma-bisection,0.01,B2_age_x_popularity,0.4,0.68,1017,-3.941162109375,1.0,ELIGIBLE,0.03995192307692308
A1,0.7743226600985221,gamma-bisection,0.01,B3_fragility_only,0.9,0.88,1017,-3.941162109375,1.0,ELIGIBLE,0.03995192307692308
A1,0.5558292282430214,gamma-bisection,0.01,B4_CFHM,0.6,0.64,1017,-3.941162109375,1.0,ELIGIBLE,0.03995192307692308
A2,0.5556309362279511,gamma-bisection,0.01,B1_in_degree,0.7,0.72,1017,-3.718994140625,1.0,ELIGIBLE,0.04
A2,0.5862731795567617,gamma-bisection,0.01,B2_age_x_popularity,0.7,0.76,1017,-3.718994140625,1.0,ELIGIBLE,0.04
A2,0.7409543193125282,gamma-bisection,0.01,B3_fragility_only,1.0,0.92,1017,-3.718994140625,1.0,ELIGIBLE,0.04
A2,0.5027137042062415,gamma-bisection,0.01,B4_CFHM,0.8,0.68,1017,-3.718994140625,1.0,ELIGIBLE,0.04
A1,0.47914768701285554,gamma-bisection,0.01,B1_in_degree,0.5,0.6,1018,-4.2470703125,1.0,ELIGIBLE,0.03995192307692308
A1,0.4699868407733576,gamma-bisection,0.01,B2_age_x_popularity,0.1,0.28,1018,-4.2470703125,1.0,ELIGIBLE,0.03995192307692308
A1,0.8155683773661302,gamma-bisection,0.01,B3_fragility_only,1.0,1.0,1018,-4.2470703125,1.0,ELIGIBLE,0.03995192307692308
A1,0.6675776900496001,gamma-bisection,0.01,B4_CFHM,0.8,0.68,1018,-4.2470703125,1.0,ELIGIBLE,0.03995192307692308
A2,0.4551384985949418,gamma-bisection,0.01,B1_in_degree,0.5,0.4,1018,-4.402587890625,1.0,ELIGIBLE,0.03995192307692308
A2,0.49869530309112803,gamma-bisection,0.01,B2_age_x_popularity,0.2,0.32,1018,-4.402587890625,1.0,ELIGIBLE,0.03995192307692308
A2,0.7202930549979928,gamma-bisection,0.01,B3_fragility_only,0.8,0.76,1018,-4.402587890625,1.0,ELIGIBLE,0.03995192307692308
A2,0.6258530710558009,gamma-bisection,0.01,B4_CFHM,0.9,0.68,1018,-4.402587890625,1.0,ELIGIBLE,0.03995192307692308
A1,0.5402258292166549,gamma-bisection,0.01,B1_in_degree,0.6,0.68,1019,-4.153076171875,1.0,ELIGIBLE,0.04004807692307692
A1,0.45811069664280674,gamma-bisection,0.01,B2_age_x_popularity,0.4,0.44,1019,-4.153076171875,1.0,ELIGIBLE,0.04004807692307692
A1,0.7932251235003528,gamma-bisection,0.01,B3_fragility_only,1.0,0.84,1019,-4.153076171875,1.0,ELIGIBLE,0.04004807692307692
A1,0.5841314648654099,gamma-bisection,0.01,B4_CFHM,0.6,0.48,1019,-4.153076171875,1.0,ELIGIBLE,0.04004807692307692
