seed,arm,variant,p_at_25,S_major,S_minor,S_advisory,spearman_rho
1031,A1,V-REFIT,0.92,0.016288635287855062,0.016288583754496606,0.01628831008698409,-0.21666666666666667
1031,A1,V-A0,0.88,,,,
1031,A1,V-ORAC,0.92,0.01794668057298751,0.017950394578560437,0.017390507969437193,0.2635231383473649
1031,A1,V-B3R,0.84,,,,
1031,A2,V-REFIT,0.84,0.016287539268413538,0.016288214661689192,0.016288161059946297,-0.7999999999999999
1031,A2,V-A0,0.88,,,,
1031,A2,V-ORAC,0.92,0.01739021420495823,0.017922081573001136,0.01738985414710338,0.21081851067789195
1031,A2,V-B3R,0.92,,,,
1032,A1,V-REFIT,0.88,0.016284031399905096,0.016284593397491016,0.016284833175445206,-0.75
1032,A1,V-A0,0.84,,,,
1032,A1,V-ORAC,0.96,0.017390135544903283,0.0179498716871793,0.017390117213005346,0.10540925533894598
1032,A1,V-B3R,0.92,,,,
1032,A2,V-REFIT,0.8,0.01628420202319233,0.016284937816727525,0.016285021369892308,-0.7333333333333334
1032,A2,V-A0,0.76,,,,
1032,A2,V-ORAC,0.92,0.016830884337203048,0.017389300312353743,0.01683102501276394,-0.05270462766947299
1032,A2,V-B3R,0.88,,,,
1033,A1,V-REFIT,0.84,0.016285091628750623,0.016284426546621086,0.016283825398179467,0.5666666666666667
1033,A1,V-A0,0.84,,,,
1033,A1,V-ORAC,0.88,0.017386529203771255,0.017950259402265793,0.017390275823577384,0.21081851067789195
1033,A1,V-B3R,0.92,,,,
1033,A2,V-REFIT,0.88,0.016285051749575355,0.016284955864665603,0.016284492874445847,0.016666666666666666
1033,A2,V-A0,0.92,,,,
1033,A2,V-ORAC,0.88,0.01683078064915659,0.01738995913190197,0.01682935437519953,0.10540925533894598
1033,A2,V-B3R,0.96,,,,
1034,A1,V-REFIT,0.96,0.016286673534592074,0.016287363259094672,0.01628713095733883,-0.7666666666666667
1034,A1,V-A0,1.0,,,,
1034,A1,V-ORAC,0.92,0.01795009074461447,0.01795008910778453,0.017390433352419833,0.3689323936863109
1034,A1,V-B3R,0.92,,,,
1034,A2,V-REFIT,0.68,0.01628652029807223,0.01628736393951176,0.016287042495498512,-0.7666666666666667
1034,A2,V-A0,0.72,,,,
1034,A2,V-ORAC,1.0,0.017365757099589464,0.01739017998436322,0.017390177518102116,-0.05270462766947299
